Urgency,Category,Issue,Affected URL,Details,Recommended Action
CRITICAL,Metadata,Missing <title> tag,https://www.amipi.com/My-Account,,"Add a unique, descriptive <title> tag within the <head> section of every page that accurately reflects the page content and includes primary keywords near the beginning."
CRITICAL,Metadata,Missing <title> tag,https://www.amipi.com/My-Account,,"Add a unique, descriptive <title> tag within the <head> section of every page that accurately reflects the page content and includes primary keywords near the beginning."
CRITICAL,Metadata,Missing <title> tag,https://www.amipi.com/My-Wishlist/,,"Add a unique, descriptive <title> tag within the <head> section of every page that accurately reflects the page content and includes primary keywords near the beginning."
CRITICAL,Performance,Very slow response time: 14426ms,https://www.amipi.com,,"Implement server-side caching (Redis/Memcached) for frequent database queries and enable HTTP caching headers, while profiling and optimizing slow SQL queries with proper indexing."
CRITICAL,Performance,Very slow response time: 11839ms,https://www.amipi.com,,"Implement server-side caching (Redis/Memcached) for frequent database queries and enable HTTP caching headers, while profiling and optimizing slow SQL queries with proper indexing."
CRITICAL,Performance,Very slow response time: 4566ms,https://www.amipi.com/,,"Implement server-side caching (Redis/Memcached) for frequent database queries and enable HTTP caching headers, while profiling and optimizing slow SQL queries with proper indexing."
CRITICAL,Performance,Very slow response time: 4316ms,https://www.amipi.com/,,"Implement server-side caching (Redis/Memcached) for frequent database queries and enable HTTP caching headers, while profiling and optimizing slow SQL queries with proper indexing."
CRITICAL,Performance,Very slow response time: 4544ms,https://www.amipi.com//sell/,,"Implement server-side caching (Redis/Memcached) for frequent database queries and enable HTTP caching headers, while profiling and optimizing slow SQL queries with proper indexing."
CRITICAL,Performance,Very slow response time: 3873ms,https://www.amipi.com//sell/,,"Implement server-side caching (Redis/Memcached) for frequent database queries and enable HTTP caching headers, while profiling and optimizing slow SQL queries with proper indexing."
CRITICAL,Performance,Very slow response time: 7172ms,https://www.amipi.com/Contact-Us,,"Implement server-side caching (Redis/Memcached) for frequent database queries and enable HTTP caching headers, while profiling and optimizing slow SQL queries with proper indexing."
CRITICAL,Performance,Very slow response time: 5535ms,https://www.amipi.com/Contact-Us,,"Implement server-side caching (Redis/Memcached) for frequent database queries and enable HTTP caching headers, while profiling and optimizing slow SQL queries with proper indexing."
CRITICAL,Performance,Very slow response time: 5881ms,https://www.amipi.com/Contact-Us/,,"Implement server-side caching (Redis/Memcached) for frequent database queries and enable HTTP caching headers, while profiling and optimizing slow SQL queries with proper indexing."
CRITICAL,Performance,Very slow response time: 7317ms,https://www.amipi.com/Contact-Us/,,"Implement server-side caching (Redis/Memcached) for frequent database queries and enable HTTP caching headers, while profiling and optimizing slow SQL queries with proper indexing."
CRITICAL,Performance,Very slow response time: 4467ms,https://www.amipi.com/My-Cart/,,"Implement server-side caching (Redis/Memcached) for frequent database queries and enable HTTP caching headers, while profiling and optimizing slow SQL queries with proper indexing."
CRITICAL,Performance,Very slow response time: 4409ms,https://www.amipi.com/My-Cart/,,"Implement server-side caching (Redis/Memcached) for frequent database queries and enable HTTP caching headers, while profiling and optimizing slow SQL queries with proper indexing."
CRITICAL,Performance,Very slow response time: 4063ms,https://www.amipi.com/Privacy-Policy/,,"Implement server-side caching (Redis/Memcached) for frequent database queries and enable HTTP caching headers, while profiling and optimizing slow SQL queries with proper indexing."
CRITICAL,Performance,Very slow response time: 3963ms,https://www.amipi.com/Privacy-Policy/,,"Implement server-side caching (Redis/Memcached) for frequent database queries and enable HTTP caching headers, while profiling and optimizing slow SQL queries with proper indexing."
CRITICAL,Performance,Very slow response time: 4898ms,https://www.amipi.com/Schedule-Appointment,,"Implement server-side caching (Redis/Memcached) for frequent database queries and enable HTTP caching headers, while profiling and optimizing slow SQL queries with proper indexing."
CRITICAL,Performance,Very slow response time: 5032ms,https://www.amipi.com/Schedule-Appointment,,"Implement server-side caching (Redis/Memcached) for frequent database queries and enable HTTP caching headers, while profiling and optimizing slow SQL queries with proper indexing."
CRITICAL,Performance,Very slow response time: 5036ms,https://www.amipi.com/Schedule-Appointment/,,"Implement server-side caching (Redis/Memcached) for frequent database queries and enable HTTP caching headers, while profiling and optimizing slow SQL queries with proper indexing."
CRITICAL,Performance,Very slow response time: 5057ms,https://www.amipi.com/Schedule-Appointment/,,"Implement server-side caching (Redis/Memcached) for frequent database queries and enable HTTP caching headers, while profiling and optimizing slow SQL queries with proper indexing."
CRITICAL,Performance,Very slow response time: 5755ms,https://www.amipi.com/Testimonials,,"Implement server-side caching (Redis/Memcached) for frequent database queries and enable HTTP caching headers, while profiling and optimizing slow SQL queries with proper indexing."
CRITICAL,Performance,Very slow response time: 4767ms,https://www.amipi.com/Testimonials,,"Implement server-side caching (Redis/Memcached) for frequent database queries and enable HTTP caching headers, while profiling and optimizing slow SQL queries with proper indexing."
CRITICAL,Performance,Very slow response time: 5474ms,https://www.amipi.com/Testimonials/,,"Implement server-side caching (Redis/Memcached) for frequent database queries and enable HTTP caching headers, while profiling and optimizing slow SQL queries with proper indexing."
CRITICAL,Performance,Very slow response time: 5343ms,https://www.amipi.com/Testimonials/,,"Implement server-side caching (Redis/Memcached) for frequent database queries and enable HTTP caching headers, while profiling and optimizing slow SQL queries with proper indexing."
CRITICAL,Performance,Very slow response time: 5189ms,https://www.amipi.com/about-us,,"Implement server-side caching (Redis/Memcached) for frequent database queries and enable HTTP caching headers, while profiling and optimizing slow SQL queries with proper indexing."
CRITICAL,Performance,Very slow response time: 4639ms,https://www.amipi.com/about-us,,"Implement server-side caching (Redis/Memcached) for frequent database queries and enable HTTP caching headers, while profiling and optimizing slow SQL queries with proper indexing."
CRITICAL,Performance,Very slow response time: 5831ms,https://www.amipi.com/about-us/,,"Implement server-side caching (Redis/Memcached) for frequent database queries and enable HTTP caching headers, while profiling and optimizing slow SQL queries with proper indexing."
CRITICAL,Performance,Very slow response time: 4876ms,https://www.amipi.com/about-us/,,"Implement server-side caching (Redis/Memcached) for frequent database queries and enable HTTP caching headers, while profiling and optimizing slow SQL queries with proper indexing."
CRITICAL,Performance,Very slow response time: 6365ms,https://www.amipi.com/amipi-cares,,"Implement server-side caching (Redis/Memcached) for frequent database queries and enable HTTP caching headers, while profiling and optimizing slow SQL queries with proper indexing."
CRITICAL,Performance,Very slow response time: 5471ms,https://www.amipi.com/amipi-cares,,"Implement server-side caching (Redis/Memcached) for frequent database queries and enable HTTP caching headers, while profiling and optimizing slow SQL queries with proper indexing."
CRITICAL,Performance,Very slow response time: 5487ms,https://www.amipi.com/amipi-cares/,,"Implement server-side caching (Redis/Memcached) for frequent database queries and enable HTTP caching headers, while profiling and optimizing slow SQL queries with proper indexing."
CRITICAL,Performance,Very slow response time: 5650ms,https://www.amipi.com/amipi-cares/,,"Implement server-side caching (Redis/Memcached) for frequent database queries and enable HTTP caching headers, while profiling and optimizing slow SQL queries with proper indexing."
CRITICAL,Performance,Very slow response time: 5532ms,https://www.amipi.com/bands,,"Implement server-side caching (Redis/Memcached) for frequent database queries and enable HTTP caching headers, while profiling and optimizing slow SQL queries with proper indexing."
CRITICAL,Performance,Very slow response time: 5503ms,https://www.amipi.com/bands,,"Implement server-side caching (Redis/Memcached) for frequent database queries and enable HTTP caching headers, while profiling and optimizing slow SQL queries with proper indexing."
CRITICAL,Performance,Very slow response time: 4339ms,https://www.amipi.com/bands-old/,,"Implement server-side caching (Redis/Memcached) for frequent database queries and enable HTTP caching headers, while profiling and optimizing slow SQL queries with proper indexing."
CRITICAL,Performance,Very slow response time: 4138ms,https://www.amipi.com/bands-old/,,"Implement server-side caching (Redis/Memcached) for frequent database queries and enable HTTP caching headers, while profiling and optimizing slow SQL queries with proper indexing."
CRITICAL,Performance,Very slow response time: 7356ms,https://www.amipi.com/bands/,,"Implement server-side caching (Redis/Memcached) for frequent database queries and enable HTTP caching headers, while profiling and optimizing slow SQL queries with proper indexing."
CRITICAL,Performance,Very slow response time: 10137ms,https://www.amipi.com/bands/,,"Implement server-side caching (Redis/Memcached) for frequent database queries and enable HTTP caching headers, while profiling and optimizing slow SQL queries with proper indexing."
CRITICAL,Performance,Very slow response time: 6962ms,https://www.amipi.com/basics,,"Implement server-side caching (Redis/Memcached) for frequent database queries and enable HTTP caching headers, while profiling and optimizing slow SQL queries with proper indexing."
CRITICAL,Performance,Very slow response time: 8294ms,https://www.amipi.com/basics/,,"Implement server-side caching (Redis/Memcached) for frequent database queries and enable HTTP caching headers, while profiling and optimizing slow SQL queries with proper indexing."
CRITICAL,Performance,Very slow response time: 8312ms,https://www.amipi.com/basics/,,"Implement server-side caching (Redis/Memcached) for frequent database queries and enable HTTP caching headers, while profiling and optimizing slow SQL queries with proper indexing."
CRITICAL,Performance,Very slow response time: 4479ms,https://www.amipi.com/br-test/,,"Implement server-side caching (Redis/Memcached) for frequent database queries and enable HTTP caching headers, while profiling and optimizing slow SQL queries with proper indexing."
CRITICAL,Performance,Very slow response time: 4218ms,https://www.amipi.com/br-test/,,"Implement server-side caching (Redis/Memcached) for frequent database queries and enable HTTP caching headers, while profiling and optimizing slow SQL queries with proper indexing."
CRITICAL,Performance,Very slow response time: 6299ms,https://www.amipi.com/bracelets,,"Implement server-side caching (Redis/Memcached) for frequent database queries and enable HTTP caching headers, while profiling and optimizing slow SQL queries with proper indexing."
CRITICAL,Performance,Very slow response time: 7331ms,https://www.amipi.com/bracelets,,"Implement server-side caching (Redis/Memcached) for frequent database queries and enable HTTP caching headers, while profiling and optimizing slow SQL queries with proper indexing."
CRITICAL,Performance,Very slow response time: 7592ms,https://www.amipi.com/bracelets/,,"Implement server-side caching (Redis/Memcached) for frequent database queries and enable HTTP caching headers, while profiling and optimizing slow SQL queries with proper indexing."
CRITICAL,Performance,Very slow response time: 7574ms,https://www.amipi.com/bracelets/,,"Implement server-side caching (Redis/Memcached) for frequent database queries and enable HTTP caching headers, while profiling and optimizing slow SQL queries with proper indexing."
CRITICAL,Performance,Very slow response time: 9363ms,https://www.amipi.com/certified.php/?IsSingleDiamond=1&DiamondType=1,,"Implement server-side caching (Redis/Memcached) for frequent database queries and enable HTTP caching headers, while profiling and optimizing slow SQL queries with proper indexing."
CRITICAL,Performance,Very slow response time: 8373ms,https://www.amipi.com/certified.php/?IsSingleDiamond=1&DiamondType=1,,"Implement server-side caching (Redis/Memcached) for frequent database queries and enable HTTP caching headers, while profiling and optimizing slow SQL queries with proper indexing."
CRITICAL,Performance,Very slow response time: 8976ms,https://www.amipi.com/certified.php/?IsSingleDiamond=1&DiamondType=2,,"Implement server-side caching (Redis/Memcached) for frequent database queries and enable HTTP caching headers, while profiling and optimizing slow SQL queries with proper indexing."
CRITICAL,Performance,Very slow response time: 8228ms,https://www.amipi.com/certified.php/?IsSingleDiamond=1&DiamondType=2,,"Implement server-side caching (Redis/Memcached) for frequent database queries and enable HTTP caching headers, while profiling and optimizing slow SQL queries with proper indexing."
CRITICAL,Performance,Very slow response time: 8668ms,https://www.amipi.com/certified.php/?type=bracelets&,,"Implement server-side caching (Redis/Memcached) for frequent database queries and enable HTTP caching headers, while profiling and optimizing slow SQL queries with proper indexing."
CRITICAL,Performance,Very slow response time: 7453ms,https://www.amipi.com/certified.php/?type=bracelets&,,"Implement server-side caching (Redis/Memcached) for frequent database queries and enable HTTP caching headers, while profiling and optimizing slow SQL queries with proper indexing."
CRITICAL,Performance,Very slow response time: 8071ms,https://www.amipi.com/certified.php/?type=bracelets&/,,"Implement server-side caching (Redis/Memcached) for frequent database queries and enable HTTP caching headers, while profiling and optimizing slow SQL queries with proper indexing."
CRITICAL,Performance,Very slow response time: 8706ms,https://www.amipi.com/certified.php/?type=bracelets&/,,"Implement server-side caching (Redis/Memcached) for frequent database queries and enable HTTP caching headers, while profiling and optimizing slow SQL queries with proper indexing."
CRITICAL,Performance,Very slow response time: 6990ms,https://www.amipi.com/certified.php/?type=studs,,"Implement server-side caching (Redis/Memcached) for frequent database queries and enable HTTP caching headers, while profiling and optimizing slow SQL queries with proper indexing."
CRITICAL,Performance,Very slow response time: 6766ms,https://www.amipi.com/certified.php/?type=studs,,"Implement server-side caching (Redis/Memcached) for frequent database queries and enable HTTP caching headers, while profiling and optimizing slow SQL queries with proper indexing."
CRITICAL,Performance,Very slow response time: 7306ms,https://www.amipi.com/certified.php/?type=studs/,,"Implement server-side caching (Redis/Memcached) for frequent database queries and enable HTTP caching headers, while profiling and optimizing slow SQL queries with proper indexing."
CRITICAL,Performance,Very slow response time: 7339ms,https://www.amipi.com/certified.php/?type=studs/,,"Implement server-side caching (Redis/Memcached) for frequent database queries and enable HTTP caching headers, while profiling and optimizing slow SQL queries with proper indexing."
CRITICAL,Performance,Very slow response time: 6000ms,https://www.amipi.com/compare-product.php,,"Implement server-side caching (Redis/Memcached) for frequent database queries and enable HTTP caching headers, while profiling and optimizing slow SQL queries with proper indexing."
CRITICAL,Performance,Very slow response time: 5797ms,https://www.amipi.com/compare-product.php,,"Implement server-side caching (Redis/Memcached) for frequent database queries and enable HTTP caching headers, while profiling and optimizing slow SQL queries with proper indexing."
CRITICAL,Performance,Very slow response time: 6358ms,https://www.amipi.com/flexi-bangles,,"Implement server-side caching (Redis/Memcached) for frequent database queries and enable HTTP caching headers, while profiling and optimizing slow SQL queries with proper indexing."
CRITICAL,Performance,Very slow response time: 5938ms,https://www.amipi.com/flexi-bangles,,"Implement server-side caching (Redis/Memcached) for frequent database queries and enable HTTP caching headers, while profiling and optimizing slow SQL queries with proper indexing."
CRITICAL,Performance,Very slow response time: 7340ms,https://www.amipi.com/flexi-bangles/,,"Implement server-side caching (Redis/Memcached) for frequent database queries and enable HTTP caching headers, while profiling and optimizing slow SQL queries with proper indexing."
CRITICAL,Performance,Very slow response time: 6838ms,https://www.amipi.com/flexi-bangles/,,"Implement server-side caching (Redis/Memcached) for frequent database queries and enable HTTP caching headers, while profiling and optimizing slow SQL queries with proper indexing."
CRITICAL,Performance,Very slow response time: 6127ms,https://www.amipi.com/hoops,,"Implement server-side caching (Redis/Memcached) for frequent database queries and enable HTTP caching headers, while profiling and optimizing slow SQL queries with proper indexing."
CRITICAL,Performance,Very slow response time: 5852ms,https://www.amipi.com/hoops,,"Implement server-side caching (Redis/Memcached) for frequent database queries and enable HTTP caching headers, while profiling and optimizing slow SQL queries with proper indexing."
CRITICAL,Performance,Very slow response time: 6260ms,https://www.amipi.com/hoops/,,"Implement server-side caching (Redis/Memcached) for frequent database queries and enable HTTP caching headers, while profiling and optimizing slow SQL queries with proper indexing."
CRITICAL,Performance,Very slow response time: 8073ms,https://www.amipi.com/hoops/,,"Implement server-side caching (Redis/Memcached) for frequent database queries and enable HTTP caching headers, while profiling and optimizing slow SQL queries with proper indexing."
CRITICAL,Performance,Very slow response time: 4430ms,https://www.amipi.com/index.php,,"Implement server-side caching (Redis/Memcached) for frequent database queries and enable HTTP caching headers, while profiling and optimizing slow SQL queries with proper indexing."
CRITICAL,Performance,Very slow response time: 4060ms,https://www.amipi.com/index.php,,"Implement server-side caching (Redis/Memcached) for frequent database queries and enable HTTP caching headers, while profiling and optimizing slow SQL queries with proper indexing."
CRITICAL,Performance,Very slow response time: 6247ms,https://www.amipi.com/lastcall,,"Implement server-side caching (Redis/Memcached) for frequent database queries and enable HTTP caching headers, while profiling and optimizing slow SQL queries with proper indexing."
CRITICAL,Performance,Very slow response time: 6161ms,https://www.amipi.com/lastcall,,"Implement server-side caching (Redis/Memcached) for frequent database queries and enable HTTP caching headers, while profiling and optimizing slow SQL queries with proper indexing."
CRITICAL,Performance,Very slow response time: 7394ms,https://www.amipi.com/lastcall/,,"Implement server-side caching (Redis/Memcached) for frequent database queries and enable HTTP caching headers, while profiling and optimizing slow SQL queries with proper indexing."
